session_date,dir,reason,ref_range,gross,net,contract,ref_hi,ref_lo,stop_px,entry_utc,exit_utc,entry_px,exit_px,cost,cum_net
2009-01-05,1,stop,6.0,-31.25,-34.95,200903,925.5,919.5,919.5,2009-01-05 08:00:00+00:00,2009-01-05 13:00:00+00:00,925.75,919.5,3.7,-34.95
2009-01-06,1,eow,7.0,15.0,11.3,200903,930.5,923.5,923.5,2009-01-06 08:00:00+00:00,2009-01-06 14:00:00+00:00,930.75,933.75,3.7,-23.65
2009-01-07,-1,eow,6.5,40.0,36.3,200903,931.75,925.25,931.75,2009-01-07 08:00:00+00:00,2009-01-07 14:00:00+00:00,925.0,917.0,3.7,12.65
2009-01-08,-1,eow,8.0,2.5,-1.2000000000000002,200903,907.5,899.5,907.5,2009-01-08 10:00:00+00:00,2009-01-08 14:00:00+00:00,899.25,898.75,3.7,11.45
2009-01-09,-1,stop,5.5,-28.75,-32.45,200903,910.0,904.5,910.0,2009-01-09 08:00:00+00:00,2009-01-09 13:30:00+00:00,904.25,910.0,3.7,-21.0
2009-01-12,1,eow,5.5,-2.5,-6.2,200903,885.0,879.5,879.5,2009-01-12 09:00:00+00:00,2009-01-12 14:00:00+00:00,885.25,884.75,3.7,-27.2
2009-01-13,-1,eow,4.5,26.25,22.55,200903,873.75,869.25,873.75,2009-01-13 08:00:00+00:00,2009-01-13 14:00:00+00:00,869.0,863.75,3.7,-4.65
2009-01-14,-1,eow,7.0,81.25,77.55,200903,875.0,868.0,875.0,2009-01-14 08:30:00+00:00,2009-01-14 14:00:00+00:00,867.75,851.5,3.7,72.9
2009-01-15,1,stop,7.0,-36.25,-39.95,200903,838.0,831.0,831.0,2009-01-15 08:00:00+00:00,2009-01-15 08:30:00+00:00,838.25,831.0,3.7,32.95
2009-01-16,1,eow,7.25,22.5,18.8,200903,850.0,842.75,842.75,2009-01-16 09:30:00+00:00,2009-01-16 14:00:00+00:00,850.25,854.75,3.7,51.75
2009-01-19,-1,eow,14.25,38.75,35.05,200903,865.75,851.5,865.75,2009-01-19 12:30:00+00:00,2009-01-19 14:00:00+00:00,851.25,843.5,3.7,86.8
2009-01-20,1,eow,11.25,-27.5,-31.2,200903,843.75,832.5,832.5,2009-01-20 08:00:00+00:00,2009-01-20 14:00:00+00:00,844.0,838.5,3.7,55.6
2009-01-21,1,eow,12.5,1.25,-2.45,200903,815.0,802.5,802.5,2009-01-21 11:00:00+00:00,2009-01-21 14:00:00+00:00,815.25,815.5,3.7,53.15
2009-01-22,-1,eow,8.0,78.75,75.05,200903,844.0,836.0,844.0,2009-01-22 08:00:00+00:00,2009-01-22 14:00:00+00:00,835.75,820.0,3.7,128.2
2009-01-23,-1,eow,10.75,55.0,51.3,200903,826.75,816.0,826.75,2009-01-23 08:00:00+00:00,2009-01-23 14:00:00+00:00,815.75,804.75,3.7,179.5
2009-01-26,1,eow,13.0,38.75,35.05,200903,823.75,810.75,810.75,2009-01-26 08:30:00+00:00,2009-01-26 14:00:00+00:00,824.0,831.75,3.7,214.55
2009-01-27,1,stop,11.25,-57.5,-61.2,200903,844.75,833.5,833.5,2009-01-27 08:30:00+00:00,2009-01-27 11:30:00+00:00,845.0,833.5,3.7,153.35
