session_date,dir,reason,ref_range,gross,net,contract,ref_hi,ref_lo,stop_px,entry_utc,exit_utc,entry_px,exit_px,cost,cum_net
2009-01-02,-1,stop,10.75,-55.0,-58.7,200903,907.75,897.0,907.75,2009-01-02 14:30:00+00:00,2009-01-02 15:30:00+00:00,896.75,907.75,3.7,-58.7
2009-01-05,-1,stop,10.25,-52.5,-56.2,200903,927.25,917.0,927.25,2009-01-05 14:30:00+00:00,2009-01-05 15:30:00+00:00,916.75,927.25,3.7,-114.9
2009-01-06,1,stop,11.0,-56.25,-59.95,200903,936.5,925.5,925.5,2009-01-06 14:30:00+00:00,2009-01-06 16:00:00+00:00,936.75,925.5,3.7,-174.85
2009-01-07,-1,eow,13.0,43.75,40.05,200903,926.25,913.25,926.25,2009-01-07 15:00:00+00:00,2009-01-07 20:30:00+00:00,913.0,904.25,3.7,-134.8
2009-01-09,-1,eow,14.75,63.75,60.05,200903,914.75,900.0,914.75,2009-01-09 14:30:00+00:00,2009-01-09 20:30:00+00:00,899.75,887.0,3.7,-74.75
2009-01-12,-1,eow,4.25,76.25,72.55,200903,885.5,881.25,885.5,2009-01-12 14:30:00+00:00,2009-01-12 20:30:00+00:00,881.0,865.75,3.7,-2.2
2009-01-13,1,eow,13.5,-18.75,-22.45,200903,870.5,857.0,857.0,2009-01-13 14:30:00+00:00,2009-01-13 20:30:00+00:00,870.75,867.0,3.7,-24.65
2009-01-14,-1,eow,26.0,38.75,35.05,200903,873.25,847.25,873.25,2009-01-14 14:30:00+00:00,2009-01-14 20:30:00+00:00,847.0,839.25,3.7,10.4
2009-01-15,-1,stop,13.75,-70.0,-73.7,200903,842.0,828.25,842.0,2009-01-15 14:30:00+00:00,2009-01-15 19:30:00+00:00,828.0,842.0,3.7,-63.3
2009-01-16,-1,eow,14.25,-12.5,-16.2,200903,857.75,843.5,857.75,2009-01-16 16:00:00+00:00,2009-01-16 20:30:00+00:00,843.25,845.75,3.7,-79.5
2009-01-19,-1,eow,20.75,-0.0,-3.7,200903,861.0,840.25,861.0,2009-01-19 14:30:00+00:00,2009-01-19 16:30:00+00:00,840.0,840.0,3.7,-83.2
2009-01-20,-1,eow,13.25,158.75,155.05,200903,847.25,834.0,847.25,2009-01-20 14:30:00+00:00,2009-01-20 20:30:00+00:00,833.75,802.0,3.7,71.85
2009-01-21,1,stop,13.25,-67.5,-71.2,200903,818.0,804.75,804.75,2009-01-21 14:30:00+00:00,2009-01-21 15:30:00+00:00,818.25,804.75,3.7,0.65
2009-01-22,-1,eow,22.25,-28.75,-32.45,200903,840.5,818.25,840.5,2009-01-22 14:30:00+00:00,2009-01-22 20:30:00+00:00,818.0,823.75,3.7,-31.8
2009-01-23,1,eow,19.75,37.5,33.8,200903,819.25,799.5,799.5,2009-01-23 16:00:00+00:00,2009-01-23 20:30:00+00:00,819.5,827.0,3.7,2.0
2009-01-26,1,eow,18.5,-6.25,-9.95,200903,834.0,815.5,815.5,2009-01-26 14:30:00+00:00,2009-01-26 20:30:00+00:00,834.25,833.0,3.7,-7.95
2009-01-27,-1,stop,12.5,-63.75,-67.45,200903,845.0,832.5,845.0,2009-01-27 15:00:00+00:00,2009-01-27 17:00:00+00:00,832.25,845.0,3.7,-75.4
2009-01-28,1,eow,8.5,30.0,26.3,200903,863.75,855.25,855.25,2009-01-28 15:30:00+00:00,2009-01-28 20:30:00+00:00,864.0,870.0,3.7,-49.1
2009-01-29,-1,eow,10.5,72.5,68.8,200903,866.5,856.0,866.5,2009-01-29 14:30:00+00:00,2009-01-29 20:30:00+00:00,855.75,841.25,3.7,19.7
2009-01-30,-1,eow,15.5,51.25,47.55,200903,848.5,833.0,848.5,2009-01-30 15:00:00+00:00,2009-01-30 20:30:00+00:00,832.75,822.5,3.7,67.25
2009-02-02,1,eow,11.25,20.0,16.3,200903,817.5,806.25,806.25,2009-02-02 15:00:00+00:00,2009-02-02 20:30:00+00:00,817.75,821.75,3.7,83.55
2009-02-03,1,eow,11.5,31.25,27.55,200903,827.5,816.0,816.0,2009-02-03 14:30:00+00:00,2009-02-03 20:30:00+00:00,827.75,834.0,3.7,111.1
2009-02-04,1,stop,11.75,-60.0,-63.7,200903,840.75,829.0,829.0,2009-02-04 14:30:00+00:00,2009-02-04 18:30:00+00:00,841.0,829.0,3.7,47.4
2009-02-05,-1,stop,10.0,-51.25,-54.95,200903,830.5,820.5,830.5,2009-02-05 14:30:00+00:00,2009-02-05 15:30:00+00:00,820.25,830.5,3.7,-7.55
2009-02-06,1,eow,11.5,82.5,78.8,200903,848.25,836.75,836.75,2009-02-06 14:30:00+00:00,2009-02-06 20:30:00+00:00,848.5,865.0,3.7,71.25
2009-02-09,1,eow,12.5,5.0,1.2999999999999998,200903,866.0,853.5,853.5,2009-02-09 14:30:00+00:00,2009-02-09 20:30:00+00:00,866.25,867.25,3.7,72.55
2009-02-10,1,stop,11.75,-60.0,-63.7,200903,863.5,851.75,851.75,2009-02-10 14:30:00+00:00,2009-02-10 16:00:00+00:00,863.75,851.75,3.7,8.85
2009-02-11,1,stop,9.75,-50.0,-53.7,200903,833.0,823.25,823.25,2009-02-11 14:30:00+00:00,2009-02-11 18:30:00+00:00,833.25,823.25,3.7,-44.85
