session_date,dir,reason,ref_range,gross,net,contract,ref_hi,ref_lo,stop_px,entry_utc,exit_utc,entry_px,exit_px,cost,cum_net
2009-01-02,1,eow,9.25,108.75,105.05,200903,905.75,896.5,896.5,2009-01-02 15:30:00+00:00,2009-01-02 20:30:00+00:00,906.0,927.75,3.7,105.05
2009-01-05,1,eow,9.0,-1.25,-4.95,200903,925.5,916.5,916.5,2009-01-05 15:30:00+00:00,2009-01-05 20:30:00+00:00,925.75,925.5,3.7,100.1
2009-01-06,-1,eow,16.75,-30.0,-33.7,200903,942.75,926.0,942.75,2009-01-06 16:00:00+00:00,2009-01-06 20:30:00+00:00,925.75,931.75,3.7,66.4
2009-01-07,-1,eow,9.0,32.5,28.8,200903,920.0,911.0,920.0,2009-01-07 15:30:00+00:00,2009-01-07 20:30:00+00:00,910.75,904.25,3.7,95.2
2009-01-08,1,eow,7.25,32.5,28.8,200903,900.75,893.5,893.5,2009-01-08 15:30:00+00:00,2009-01-08 20:30:00+00:00,901.0,907.5,3.7,124.0
2009-01-09,-1,eow,22.0,2.5,-1.2000000000000002,200903,909.75,887.75,909.75,2009-01-09 15:30:00+00:00,2009-01-09 20:30:00+00:00,887.5,887.0,3.7,122.8
2009-01-12,-1,eow,11.5,40.0,36.3,200903,885.5,874.0,885.5,2009-01-12 16:00:00+00:00,2009-01-12 20:30:00+00:00,873.75,865.75,3.7,159.1
2009-01-13,1,stop,12.25,-62.5,-66.2,200903,873.75,861.5,861.5,2009-01-13 16:30:00+00:00,2009-01-13 18:30:00+00:00,874.0,861.5,3.7,92.9
2009-01-14,-1,eow,12.75,5.0,1.2999999999999998,200903,853.25,840.5,853.25,2009-01-14 15:30:00+00:00,2009-01-14 20:30:00+00:00,840.25,839.25,3.7,94.2
2009-01-15,-1,stop,21.75,-110.0,-113.7,200903,838.75,817.0,838.75,2009-01-15 15:30:00+00:00,2009-01-15 19:00:00+00:00,816.75,838.75,3.7,-19.5
2009-01-16,-1,eow,11.0,-5.0,-8.7,200903,856.0,845.0,856.0,2009-01-16 16:00:00+00:00,2009-01-16 20:30:00+00:00,844.75,845.75,3.7,-28.2
2009-01-19,-1,eow,8.0,-23.75,-27.45,200903,843.5,835.5,843.5,2009-01-19 15:30:00+00:00,2009-01-19 16:30:00+00:00,835.25,840.0,3.7,-55.65
2009-01-20,-1,eow,20.5,90.0,86.3,200903,840.75,820.25,840.75,2009-01-20 17:00:00+00:00,2009-01-20 20:30:00+00:00,820.0,802.0,3.7,30.65
2009-01-21,-1,stop,9.25,-47.5,-51.2,200903,820.5,811.25,820.5,2009-01-21 15:30:00+00:00,2009-01-21 19:30:00+00:00,811.0,820.5,3.7,-20.55
2009-01-22,-1,stop,9.0,-46.25,-49.95,200903,825.5,816.5,825.5,2009-01-22 15:30:00+00:00,2009-01-22 18:30:00+00:00,816.25,825.5,3.7,-70.5
2009-01-23,1,eow,15.75,47.5,43.8,200903,817.25,801.5,801.5,2009-01-23 16:00:00+00:00,2009-01-23 20:30:00+00:00,817.5,827.0,3.7,-26.7
2009-01-26,-1,eow,19.0,-13.75,-17.45,200903,849.5,830.5,849.5,2009-01-26 19:00:00+00:00,2009-01-26 20:30:00+00:00,830.25,833.0,3.7,-44.15
2009-01-27,1,eow,13.25,-16.25,-19.95,200903,844.5,831.25,831.25,2009-01-27 17:00:00+00:00,2009-01-27 20:30:00+00:00,844.75,841.5,3.7,-64.1
2009-01-28,1,eow,6.5,33.75,30.05,200903,863.0,856.5,856.5,2009-01-28 15:30:00+00:00,2009-01-28 20:30:00+00:00,863.25,870.0,3.7,-34.05
2009-01-29,-1,eow,9.0,45.0,41.3,200903,859.5,850.5,859.5,2009-01-29 17:00:00+00:00,2009-01-29 20:30:00+00:00,850.25,841.25,3.7,7.25
2009-01-30,-1,eow,17.0,42.5,38.8,200903,848.25,831.25,848.25,2009-01-30 15:30:00+00:00,2009-01-30 20:30:00+00:00,831.0,822.5,3.7,46.05
2009-02-02,1,eow,13.0,-1.25,-4.95,200903,821.75,808.75,808.75,2009-02-02 17:00:00+00:00,2009-02-02 20:30:00+00:00,822.0,821.75,3.7,41.1
2009-02-03,1,eow,10.0,28.75,25.05,200903,828.0,818.0,818.0,2009-02-03 16:00:00+00:00,2009-02-03 20:30:00+00:00,828.25,834.0,3.7,66.15
2009-02-04,1,stop,14.0,-71.25,-74.95,200903,848.75,834.75,834.75,2009-02-04 15:30:00+00:00,2009-02-04 18:30:00+00:00,849.0,834.75,3.7,-8.8
2009-02-05,1,eow,8.75,81.25,77.55,200903,825.5,816.75,816.75,2009-02-05 15:30:00+00:00,2009-02-05 20:30:00+00:00,825.75,842.0,3.7,68.75
2009-02-06,1,eow,16.75,28.75,25.05,200903,859.0,842.25,842.25,2009-02-06 15:30:00+00:00,2009-02-06 20:30:00+00:00,859.25,865.0,3.7,93.8
2009-02-09,1,eow,7.5,2.5,-1.2000000000000002,200903,866.5,859.0,859.0,2009-02-09 15:30:00+00:00,2009-02-09 20:30:00+00:00,866.75,867.25,3.7,92.6
2009-02-10,-1,eow,12.75,140.0,136.3,200903,866.0,853.25,866.0,2009-02-10 16:00:00+00:00,2009-02-10 20:30:00+00:00,853.0,825.0,3.7,228.9
2009-02-11,-1,stop,9.0,-46.25,-49.95,200903,835.5,826.5,835.5,2009-02-11 15:30:00+00:00,2009-02-11 16:30:00+00:00,826.25,835.5,3.7,178.95
2009-02-12,1,stop,9.5,-48.75,-52.45,200903,817.75,808.25,808.25,2009-02-12 15:30:00+00:00,2009-02-12 19:30:00+00:00,818.0,808.25,3.7,126.5
2009-02-13,1,stop,8.5,-43.75,-47.45,200903,834.5,826.0,826.0,2009-02-13 15:30:00+00:00,2009-02-13 16:30:00+00:00,834.75,826.0,3.7,79.05
2009-02-16,-1,eow,4.75,16.25,12.55,200903,817.0,812.25,817.0,2009-02-16 15:30:00+00:00,2009-02-16 16:00:00+00:00,812.0,808.75,3.7,91.6
2009-02-18,1,eow,15.5,-41.25,-44.95,200903,793.5,778.0,778.0,2009-02-18 17:00:00+00:00,2009-02-18 20:30:00+00:00,793.75,785.5,3.7,46.65
2009-02-19,-1,eow,8.25,50.0,46.3,200903,796.75,788.5,796.75,2009-02-19 15:30:00+00:00,2009-02-19 20:30:00+00:00,788.25,778.25,3.7,92.95
2009-02-20,-1,stop,12.25,-62.5,-66.2,200903,774.25,762.0,774.25,2009-02-20 16:00:00+00:00,2009-02-20 19:30:00+00:00,761.75,774.25,3.7,26.75
2009-02-23,-1,eow,13.75,106.25,102.55,200903,778.0,764.25,778.0,2009-02-23 15:30:00+00:00,2009-02-23 20:30:00+00:00,764.0,742.75,3.7,129.3
2009-02-24,1,eow,10.0,86.25,82.55,200903,753.5,743.5,743.5,2009-02-24 15:30:00+00:00,2009-02-24 20:30:00+00:00,753.75,771.0,3.7,211.85
2009-02-25,-1,stop,16.0,-81.25,-84.95,200903,768.75,752.75,768.75,2009-02-25 15:30:00+00:00,2009-02-25 18:30:00+00:00,752.5,768.75,3.7,126.9
2009-02-26,1,stop,8.75,-45.0,-48.7,200903,777.0,768.25,768.25,2009-02-26 15:30:00+00:00,2009-02-26 16:30:00+00:00,777.25,768.25,3.7,78.2
