session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,signal_relvol,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,delayed_gross_usd,cum_gross,cum_net
2009-01-16,200903,LONG,2009-01-16 12:50:00+00:00,2009-01-16 13:00:00+00:00,2009-01-16 13:10:00+00:00,0.689,-2.25,853.75,851.5,-2.25,-11.25,-14.95,-10.0,-11.25,-14.95
2009-01-19,200903,LONG,2009-01-19 00:20:00+00:00,2009-01-19 00:30:00+00:00,2009-01-19 00:40:00+00:00,0.527,-0.5,861.0,861.0,0.0,0.0,-3.7,-2.5,-11.25,-18.65
2009-01-19,200903,LONG,2009-01-19 00:40:00+00:00,2009-01-19 00:50:00+00:00,2009-01-19 01:00:00+00:00,0.562,-0.5,860.5,860.75,0.25,1.25,-2.45,1.25,-10.0,-21.1
2009-01-19,200903,LONG,2009-01-19 01:00:00+00:00,2009-01-19 01:10:00+00:00,2009-01-19 01:20:00+00:00,0.384,-0.25,860.5,860.25,-0.25,-1.25,-4.95,0.0,-11.25,-26.05
2009-01-19,200903,LONG,2009-01-19 01:20:00+00:00,2009-01-19 01:30:00+00:00,2009-01-19 01:40:00+00:00,0.608,-0.25,860.0,860.0,0.0,0.0,-3.7,0.0,-11.25,-29.75
2009-01-19,200903,LONG,2009-01-19 02:00:00+00:00,2009-01-19 02:10:00+00:00,2009-01-19 02:20:00+00:00,0.3,-0.75,860.5,859.5,-1.0,-5.0,-8.7,-13.75,-16.25,-38.45
2009-01-19,200903,SHORT,2009-01-19 02:35:00+00:00,2009-01-19 02:45:00+00:00,2009-01-19 02:55:00+00:00,0.709,0.5,859.0,859.5,-0.5,-2.5,-6.2,-5.0,-18.75,-44.65
2009-01-19,200903,LONG,2009-01-19 02:55:00+00:00,2009-01-19 03:05:00+00:00,2009-01-19 03:15:00+00:00,0.611,-0.25,859.25,859.75,0.5,2.5,-1.2,0.0,-16.25,-45.85
2009-01-19,200903,SHORT,2009-01-19 03:50:00+00:00,2009-01-19 04:00:00+00:00,2009-01-19 04:10:00+00:00,0.523,0.25,856.5,856.75,-0.25,-1.25,-4.95,2.5,-17.5,-50.8
2009-01-19,200903,LONG,2009-01-19 04:10:00+00:00,2009-01-19 04:20:00+00:00,2009-01-19 04:30:00+00:00,0.694,-0.25,856.5,858.5,2.0,10.0,6.3,2.5,-7.5,-44.5
