session_date,dir,entry_utc,exit_utc,gc_in,gc_out,si_in,si_out,si_per_gc,gross_usd,net_usd,cum_gross
2010-11-22,SHORT_GC,2010-11-22 03:00:00+00:00,2010-11-22 07:00:00+00:00,1361.0,1366.5,27.66,27.92,0.5248,81.46,56.75,81.46
2010-11-22,SHORT_GC,2010-11-22 11:00:00+00:00,2010-11-22 15:00:00+00:00,1358.7,1355.8,27.525,27.395,0.5248,-39.23,-63.94,42.23
2010-11-23,SHORT_GC,2010-11-23 03:00:00+00:00,2010-11-23 07:00:00+00:00,1364.0,1367.5,27.645,27.68,0.4901,-17.85,-42.56,24.38
2010-11-23,SHORT_GC,2010-11-23 11:00:00+00:00,2010-11-23 15:00:00+00:00,1363.7,1381.2,27.355,27.73,0.4901,8.8,-15.91,33.18
2010-11-24,LONG_GC,2010-11-24 03:00:00+00:00,2010-11-24 07:00:00+00:00,1375.9,1379.6,27.62,27.65,0.5001,22.0,-2.71,55.18
2010-11-24,SHORT_GC,2010-11-24 11:00:00+00:00,2010-11-24 15:00:00+00:00,1377.5,1373.7,27.51,27.38,0.5001,-27.02,-51.73,28.16
2010-11-26,SHORT_GC,2010-11-26 03:00:00+00:00,2010-11-26 07:00:00+00:00,1374.5,1367.0,27.525,27.21,0.4971,-81.58,-106.29,-53.42
2010-11-26,SHORT_GC,2010-11-26 11:00:00+00:00,2010-11-26 15:00:00+00:00,1363.6,1356.1,26.755,26.91,0.4971,152.05,127.34,98.63
2010-11-29,LONG_GC,2010-11-29 03:00:00+00:00,2010-11-29 07:00:00+00:00,1364.8,1367.0,26.88,27.085,0.5104,-82.63,-107.34,16.0
2010-11-29,SHORT_GC,2010-11-29 11:00:00+00:00,2010-11-29 15:00:00+00:00,1361.1,1362.8,26.76,26.75,0.5104,-22.1,-46.81,-6.1
2010-11-30,SHORT_GC,2010-11-30 03:00:00+00:00,2010-11-30 07:00:00+00:00,1366.4,1369.3,27.17,27.24,0.503,6.21,-18.5,0.11
2010-11-30,SHORT_GC,2010-11-30 11:00:00+00:00,2010-11-30 15:00:00+00:00,1375.1,1386.2,27.23,27.765,0.503,158.1,133.39,158.21
2010-12-01,SHORT_GC,2010-12-01 03:00:00+00:00,2010-12-01 07:00:00+00:00,1389.1,1394.4,28.105,28.45,0.4931,117.12,92.41,275.33
2010-12-01,LONG_GC,2010-12-01 11:00:00+00:00,2010-12-01 15:00:00+00:00,1395.7,1386.2,28.69,28.35,0.4931,72.65,47.94,347.98
2010-12-02,LONG_GC,2010-12-02 03:00:00+00:00,2010-12-02 07:00:00+00:00,1393.0,1394.7,28.595,28.655,0.4874,-12.24,-36.95,335.74
2010-12-02,SHORT_GC,2010-12-02 11:00:00+00:00,2010-12-02 15:00:00+00:00,1390.9,1393.3,28.575,28.85,0.4874,110.02,85.31,445.76
