barchart,contract,start,end
NQZ08,200812,2007-06-20,2008-12-19
NQH09,200903,2007-09-19,2009-03-20
NQM09,200906,2007-12-19,2009-06-19
NQU09,200909,2008-03-19,2009-09-18
NQZ09,200912,2008-06-18,2009-12-18
NQH10,201003,2008-09-17,2010-03-19
NQM10,201006,2008-12-17,2010-06-18
NQU10,201009,2009-03-18,2010-09-17
NQZ10,201012,2009-06-17,2010-12-17
NQH11,201103,2009-09-16,2011-03-18
NQM11,201106,2009-12-16,2011-06-17
NQU11,201109,2010-03-17,2011-09-16
NQZ11,201112,2010-06-16,2011-12-16
NQH12,201203,2010-09-15,2012-03-16
NQM12,201206,2010-12-15,2012-06-15
NQU12,201209,2011-03-23,2012-09-21
NQZ12,201212,2011-06-22,2012-12-21
NQH13,201303,2011-09-14,2013-03-15
NQM13,201306,2011-12-21,2013-06-21
NQU13,201309,2012-03-21,2013-09-20
NQZ13,201312,2012-06-20,2013-12-20
NQH14,201403,2012-09-19,2014-03-21
NQM14,201406,2012-12-19,2014-06-20
NQU14,201409,2013-03-20,2014-09-19
NQZ14,201412,2013-06-19,2014-12-19
NQH15,201503,2013-09-18,2015-03-20
NQM15,201506,2013-12-18,2015-06-19
NQU15,201509,2014-03-19,2015-09-18
NQZ15,201512,2014-06-18,2015-12-18
NQH16,201603,2014-09-17,2016-03-18
NQM16,201606,2014-12-17,2016-06-17
NQU16,201609,2015-03-18,2016-09-16
NQZ16,201612,2015-06-17,2016-12-16
