session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2010-11-09,201103,SHORT,2010-11-08 23:00:00+00:00,2010-11-09 01:00:00+00:00,2010-11-09 03:00:00+00:00,0.025,27.76,27.945,-0.185,-185.0,-216.2,-185.0,-216.2
2010-11-09,201103,SHORT,2010-11-09 03:00:00+00:00,2010-11-09 05:00:00+00:00,2010-11-09 07:00:00+00:00,0.23,28.175,28.16,0.015,15.0,-16.2,-170.0,-232.4
2010-11-10,201103,SHORT,2010-11-09 23:00:00+00:00,2010-11-10 01:00:00+00:00,2010-11-10 03:00:00+00:00,0.5,27.615,27.19,0.425,425.0,393.8,255.0,161.4
2010-11-10,201103,SHORT,2010-11-10 03:00:00+00:00,2010-11-10 05:00:00+00:00,2010-11-10 07:00:00+00:00,0.51,27.7,27.595,0.105,105.0,73.8,360.0,235.2
2010-11-12,201103,LONG,2010-11-12 01:00:00+00:00,2010-11-12 03:00:00+00:00,2010-11-12 05:00:00+00:00,-0.655,26.76,26.845,0.085,85.0,53.8,445.0,289.0
2010-11-15,201103,SHORT,2010-11-14 23:00:00+00:00,2010-11-15 01:00:00+00:00,2010-11-15 03:00:00+00:00,0.45,26.495,26.275,0.22,220.0,188.8,665.0,477.8
2010-11-15,201103,LONG,2010-11-15 03:00:00+00:00,2010-11-15 05:00:00+00:00,2010-11-15 07:00:00+00:00,-0.08,26.195,26.11,-0.085,-85.0,-116.2,580.0,361.6
2010-11-16,201103,SHORT,2010-11-15 23:00:00+00:00,2010-11-16 01:00:00+00:00,2010-11-16 03:00:00+00:00,0.225,25.795,25.73,0.065,65.0,33.8,645.0,395.4
2010-11-16,201103,SHORT,2010-11-16 03:00:00+00:00,2010-11-16 05:00:00+00:00,2010-11-16 07:00:00+00:00,0.135,25.865,25.685,0.18,180.0,148.8,825.0,544.2
2010-11-17,201103,SHORT,2010-11-16 23:00:00+00:00,2010-11-17 01:00:00+00:00,2010-11-17 03:00:00+00:00,0.045,25.45,25.46,-0.01,-10.0,-41.2,815.0,503.0
2010-11-17,201103,LONG,2010-11-17 03:00:00+00:00,2010-11-17 05:00:00+00:00,2010-11-17 07:00:00+00:00,-0.035,25.425,25.385,-0.04,-40.0,-71.2,775.0,431.8
2010-11-18,201103,SHORT,2010-11-17 23:30:00+00:00,2010-11-18 01:30:00+00:00,2010-11-18 03:30:00+00:00,0.29,26.105,26.23,-0.125,-125.0,-156.2,650.0,275.6
2010-11-18,201103,SHORT,2010-11-18 03:30:00+00:00,2010-11-18 05:30:00+00:00,2010-11-18 07:30:00+00:00,0.05,26.28,26.39,-0.11,-110.0,-141.2,540.0,134.4
2010-11-19,201103,SHORT,2010-11-18 23:00:00+00:00,2010-11-19 01:00:00+00:00,2010-11-19 03:00:00+00:00,0.065,27.36,27.165,0.195,195.0,163.8,735.0,298.2
2010-11-19,201103,LONG,2010-11-19 03:00:00+00:00,2010-11-19 05:00:00+00:00,2010-11-19 07:00:00+00:00,-0.27,26.895,27.195,0.3,300.0,268.8,1035.0,567.0
2010-11-22,201103,LONG,2010-11-21 23:00:00+00:00,2010-11-22 01:00:00+00:00,2010-11-22 03:00:00+00:00,-0.13,27.72,27.66,-0.06,-60.0,-91.2,975.0,475.8
2010-11-22,201103,SHORT,2010-11-22 03:00:00+00:00,2010-11-22 05:00:00+00:00,2010-11-22 07:00:00+00:00,0.175,27.835,27.92,-0.085,-85.0,-116.2,890.0,359.6
2010-11-23,201103,LONG,2010-11-22 23:00:00+00:00,2010-11-23 01:00:00+00:00,2010-11-23 03:00:00+00:00,-0.21,27.74,27.645,-0.095,-95.0,-126.2,795.0,233.4
2010-11-23,201103,LONG,2010-11-23 03:00:00+00:00,2010-11-23 05:00:00+00:00,2010-11-23 07:00:00+00:00,-0.085,27.56,27.68,0.12,120.0,88.8,915.0,322.2
2010-11-24,201103,SHORT,2010-11-23 23:00:00+00:00,2010-11-24 01:00:00+00:00,2010-11-24 03:00:00+00:00,0.115,27.69,27.62,0.07,70.0,38.8,985.0,361.0
